County,Date,Deaths,Case,Vehicles
PHILADELPHIA (101),2018-05-17,1,420373,1
PHILADELPHIA (101),2018-06-22,1,420374,1
PHILADELPHIA (101),2018-04-22,1,420375,2
PHILADELPHIA (101),2018-05-28,1,420384,3
PHILADELPHIA (101),2018-04-08,1,420385,3
PHILADELPHIA (101),2018-06-20,1,420389,3
PHILADELPHIA (101),2018-06-29,1,420390,1
PHILADELPHIA (101),2018-06-22,1,420391,1
PHILADELPHIA (101),2018-06-26,1,420397,2
PHILADELPHIA (101),2018-06-24,1,420398,2
PHILADELPHIA (101),2018-07-02,1,420406,1
PHILADELPHIA (101),2018-03-03,1,420413,2
PHILADELPHIA (101),2018-07-17,1,420414,2
PHILADELPHIA (101),2018-06-07,1,420415,2
PHILADELPHIA (101),2018-06-29,1,420432,2
PHILADELPHIA (101),2018-07-02,1,420434,1
PHILADELPHIA (101),2018-06-30,1,420435,1
PHILADELPHIA (101),2018-06-24,1,420436,1
PHILADELPHIA (101),2018-07-11,1,420452,1
PHILADELPHIA (101),2018-07-06,1,420466,1
PHILADELPHIA (101),2018-07-29,1,420469,1
PHILADELPHIA (101),,1,420483,1
PHILADELPHIA (101),2018-07-05,1,420496,3
PHILADELPHIA (101),2018-07-30,1,420513,2
PHILADELPHIA (101),2018-07-22,1,420557,1
PHILADELPHIA (101),2018-06-30,1,420560,1
PHILADELPHIA (101),2018-08-25,1,420561,2
PHILADELPHIA (101),2018-08-29,1,420563,1
PHILADELPHIA (101),2018-07-17,1,420568,2
PHILADELPHIA (101),2018-08-17,1,420570,1
PHILADELPHIA (101),2018-08-26,1,420571,1
PHILADELPHIA (101),2018-08-05,1,420572,2
PHILADELPHIA (101),2018-03-03,1,420573,1
PHILADELPHIA (101),2018-08-23,1,420578,1
PHILADELPHIA (101),2018-08-30,1,420604,1
PHILADELPHIA (101),2018-09-02,1,420611,1
PHILADELPHIA (101),2018-08-06,1,420612,1
PHILADELPHIA (101),2018-01-25,1,420633,1
PHILADELPHIA (101),2018-09-03,1,420682,2
PHILADELPHIA (101),2018-09-01,1,420688,1
PHILADELPHIA (101),2018-09-11,1,420713,1
PHILADELPHIA (101),2018-10-06,1,420749,1
PHILADELPHIA (101),2018-10-29,1,420765,1
PHILADELPHIA (101),2018-09-28,1,420766,1
PHILADELPHIA (101),2018-09-05,1,420774,3
PHILADELPHIA (101),2018-10-24,1,420827,2
PHILADELPHIA (101),2018-11-26,1,420831,1
PHILADELPHIA (101),2018-11-09,1,420832,2
PHILADELPHIA (101),2018-11-28,1,420836,1
PHILADELPHIA (101),2018-10-05,1,420853,1
PHILADELPHIA (101),2018-08-05,1,420863,1
PHILADELPHIA (101),2018-11-07,1,420895,1
PHILADELPHIA (101),2018-12-31,1,420908,1
PHILADELPHIA (101),2018-11-06,1,420913,1
PHILADELPHIA (101),2018-10-22,1,420928,1
PHILADELPHIA (101),2018-11-28,1,420929,1
PHILADELPHIA (101),2018-12-16,1,420933,1
PHILADELPHIA (101),2018-12-01,1,420934,1
PHILADELPHIA (101),2018-11-03,1,420945,1
PHILADELPHIA (101),2018-10-26,1,420946,1
PHILADELPHIA (101),2018-11-18,1,420948,1
PHILADELPHIA (101),2018-12-30,1,420949,1
PHILADELPHIA (101),2018-11-11,1,420951,1
PHILADELPHIA (101),2018-11-30,1,420953,2
PHILADELPHIA (101),,1,420973,1
PHILADELPHIA (101),2018-10-21,1,420981,4
PHILADELPHIA (101),2018-11-11,1,420982,1
PHILADELPHIA (101),2018-12-31,1,420988,1
PHILADELPHIA (101),2018-11-11,1,420998,1
PHILADELPHIA (101),2018-11-21,1,421013,3
